name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-17,91.2,75,82.1,107.7,75,89.6,76.9,85.1,0,0,0,rain,0,0,20.8,13.9,139.7,1012.4,52.9,7.5,254.7,21.9,9,60,2025-08-17T05:56:12,2025-08-17T18:22:38,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-18,91.2,76.8,82.8,104.5,76.8,89.6,76.6,82.3,0,0,0,,0,0,23.3,13.9,123.6,1013.6,53.1,8.8,253.8,22,8,30,2025-08-18T05:56:14,2025-08-18T18:22:09,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-19,89.7,76.8,82.7,104.5,76.8,89.5,76.4,82.1,0.004,100,4.17,rain,0,0,20.1,11.4,135.4,1013.7,63.6,8.1,263.3,22.5,9,75,2025-08-19T05:56:15,2025-08-19T18:21:40,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-20,91.1,76.7,82.9,110,76.7,90.4,76.7,82.4,0,0,0,rain,0,0,20.8,14.2,111.7,1012.9,52.5,6.2,244.1,21.1,8,60,2025-08-20T05:56:16,2025-08-20T18:21:10,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-21,89.7,76.8,82.1,102.9,76.8,88.8,76.7,84.6,0.039,100,4.17,rain,0,0,20.1,12.8,122.2,1011.7,62.8,5.5,264.7,22.9,9,30,2025-08-21T05:56:17,2025-08-21T18:20:40,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-22,89.8,77.2,83.6,105.7,77.2,92.3,77.6,82.8,0,0,0,rain,0,0,22.1,12.8,123.5,1012.2,60.2,6.9,250.3,21.6,8,60,2025-08-22T05:56:17,2025-08-22T18:20:09,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-23,89.5,76.9,82.2,104.7,76.9,88.9,76.7,83.7,0,0,0,rain,0,0,19.7,11.4,99.6,1013.3,55.2,7.1,211.9,18.2,7,60,2025-08-23T05:56:17,2025-08-23T18:19:38,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-24,89.4,75.2,80.9,104.4,75.2,86.9,76.7,87.7,0.004,100,4.17,rain,0,0,16.3,12.8,112.3,1012.7,62,6.6,224.8,19.5,8,60,2025-08-24T05:56:16,2025-08-24T18:19:06,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-25,89.6,76.6,82.2,108.2,76.6,89.6,77.4,86.2,0.064,100,45.83,rain,0,0,21.3,11.4,125.1,1013.3,57,6.4,228.7,19.8,7,60,2025-08-25T05:56:16,2025-08-25T18:18:34,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-26,87.8,77,81.1,100,77,86.8,76.7,87.1,0.252,100,50,rain,0,0,21.7,9.4,119.5,1014.2,40.1,6.3,234.6,20.2,8,30,2025-08-26T05:56:15,2025-08-26T18:18:01,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634"
