name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-14,86.0,73.4,78.8,92.3,73.4,81.2,72.4,81.4,0.167,100,58.33,18.9,105.9,1012.4,58.1,6.1,187.5,16.1,7,2026-01-14T06:26:45,2026-01-14T18:00:43,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-15,84.2,76.8,79.4,92.5,76.8,81.4,73.8,83.5,0.32,100,41.67,14.2,105.2,1012.3,63.6,6.2,167.1,14.4,6,2026-01-15T06:26:57,2026-01-15T18:01:14,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-16,86.0,75.2,79.0,93.6,75.2,81.0,72.9,82.2,0.056,100,37.5,19.8,91.4,1012.8,54.7,5.8,207.6,17.8,8,2026-01-16T06:27:08,2026-01-16T18:01:44,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-17,84.2,75.4,79.8,87.8,75.4,81.4,69.5,71.2,0.028,100,29.17,17.3,98.7,1012.8,35.1,6.2,232.1,19.8,8,2026-01-17T06:27:18,2026-01-17T18:02:14,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-18,86.0,72.0,78.6,89.8,72.0,80.1,69.3,74.1,0.0,0,0.0,14.0,102.7,1012.2,28.7,6.2,246.2,21.3,9,2026-01-18T06:27:27,2026-01-18T18:02:43,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-19,86.0,73.8,79.9,90.6,73.8,81.5,69.8,72.2,0.02,100,20.83,15.0,103.4,1012.2,30.1,6.2,244.2,21.1,8,2026-01-19T06:27:35,2026-01-19T18:03:12,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-20,86.0,75.2,80.3,92.0,75.2,82.5,71.1,74.4,0.1,100,41.67,15.9,99.9,1012.0,33.8,6.2,231.6,19.8,9,2026-01-20T06:27:42,2026-01-20T18:03:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-21,86.0,73.6,78.9,90.9,73.6,80.7,70.4,76.1,0.04,100,29.17,14.0,101.0,1011.5,37.9,6.2,217.0,18.7,7,2026-01-21T06:27:48,2026-01-21T18:04:09,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-22,86.0,73.6,78.7,92.3,73.6,80.9,72.0,80.6,0.212,100,37.5,13.7,96.8,1011.5,47.9,6.6,193.5,16.7,7,2026-01-22T06:27:54,2026-01-22T18:04:37,0.14,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"TTPP,TDW00011634,TTCP,remote,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2026-01-23,85.6,75.4,79.2,91.7,75.4,81.3,72.3,80.1,0.083,100,41.67,12.6,104.1,1012.3,49.6,6.3,187.0,16.2,7,2026-01-23T06:27:58,2026-01-23T18:05:04,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
