name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",2025-09-04,86.0,78.8,83.5,99.4,78.8,92.1,76.3,79.3,0.267,100,79.17,13.9,109.2,1013.0,39.6,6.1,252.9,21.8,9,2025-09-04T05:52:55,2025-09-04T18:10:46,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-05,89.6,80.6,84.3,105.2,86.2,93.7,76.4,77.5,0.38,100,75.0,13.9,98.0,1013.4,48.2,6.2,260.0,22.4,8,2025-09-05T05:52:53,2025-09-05T18:10:08,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-06,87.8,78.8,81.8,102.4,78.8,87.7,75.0,80.0,0.163,100,58.33,15.0,102.8,1013.6,65.7,6.2,244.9,21.3,8,2025-09-06T05:52:51,2025-09-06T18:09:30,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-07,87.8,78.8,83.0,100.0,78.8,90.0,75.6,78.7,0.193,100,33.33,9.2,98.7,1014.3,38.7,6.2,266.0,22.9,9,2025-09-07T05:52:49,2025-09-07T18:08:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-08,87.8,77.0,82.9,100.0,77.0,89.3,75.2,78.2,0.004,100,4.17,9.2,95.9,1014.1,24.4,6.8,285.5,24.7,9,2025-09-08T05:52:46,2025-09-08T18:08:12,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-09,89.6,77.0,83.3,102.4,77.0,90.5,76.1,79.5,0.048,100,37.5,10.3,89.0,1014.5,34.4,6.3,261.2,22.6,9,2025-09-09T05:52:44,2025-09-09T18:07:33,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-10,89.6,78.8,84.1,105.2,78.8,93.3,76.6,78.7,0.068,100,45.83,12.8,90.3,1013.9,31.7,6.2,251.3,21.7,9,2025-09-10T05:52:41,2025-09-10T18:06:54,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-11,87.8,78.8,82.7,102.4,78.8,90.5,76.5,81.8,0.455,100,70.83,11.4,85.1,1012.8,61.8,5.8,218.1,18.9,8,2025-09-11T05:52:38,2025-09-11T18:06:15,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-12,87.8,78.8,83.4,102.4,78.8,92.0,76.7,80.7,0.178,100,41.67,6.9,88.4,1012.3,45.9,6.2,253.2,21.9,8,2025-09-12T05:52:35,2025-09-12T18:05:35,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-13,87.8,78.8,83.4,105.2,78.8,92.7,77.5,82.8,0.239,100,70.83,13.9,123.7,1011.9,60.7,6.2,223.3,19.4,8,2025-09-13T05:52:32,2025-09-13T18:04:55,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
